#mpa_vJan25_CHOCOPhlAnSGB_202503
#/mnt/transient_data/conda/envs/metaphlan/bin/metaphlan --tmp_dir temp_dir --no_map -t rel_ab_w_read_stats --nproc 8 SRR23994342_R1.fastq.gz,SRR23994342_R2.fastq.gz --input_type fastq --bowtie2out SRR23994342_bowtie2.out.txt --bowtie2db /mnt/data/BP_Temporary/metaphlan_db --index mpa_vJan25_CHOCOPhlAnSGB_202503
#9527919 reads processed
#Average read length 140.98143351134703
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7353883
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.23503	7353883
k__Bacteria|p__Actinomycetota	2|201174	61.88922	1.38325	3256971
k__Bacteria|p__Pseudomonadota	2|1224	29.75641	0.66507	3553611
k__Bacteria|p__Firmicutes	2|1239	8.35436	0.18672	543301
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	61.88922	1.38325	3256971
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	29.75641	0.66507	3553611
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.40811	0.16557	474750
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.94626	0.02115	68551
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	61.83496	1.38203	3254066
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	29.75641	0.66507	3553611
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.40811	0.16557	474750
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.94626	0.02115	68551
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.05427	0.00121	2905
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	61.83496	1.38203	3254066
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	28.65796	0.64052	3456739
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	7.40811	0.16557	474750
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	1.09846	0.02455	96872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.94626	0.02115	68551
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.05427	0.00121	2905
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	61.83496	1.38203	3254066
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	2|1224|1236|91347|543|570	20.10803	0.44942	2546043
